trial,condition,coherence,time,evidence,action,rt
1,1,0.7,1,1,0,4
1,1,0.7,2,2,0,4
1,1,0.7,3,3,0,4
1,1,0.7,4,4,1,4
2,1,0.7,1,1,0,10
2,1,0.7,2,0,0,10
2,1,0.7,3,1,0,10
2,1,0.7,4,0,0,10
2,1,0.7,5,1,0,10
2,1,0.7,6,2,0,10
2,1,0.7,7,1,0,10
2,1,0.7,8,2,0,10
2,1,0.7,9,3,0,10
2,1,0.7,10,4,1,10
3,1,0.3,1,1,0,11
3,1,0.3,2,2,0,11
3,1,0.3,3,1,0,11
3,1,0.3,4,-0,0,11
3,1,0.3,5,-1,0,11
3,1,0.3,6,-0,0,11
3,1,0.3,7,1,0,11
3,1,0.3,8,2,0,11
3,1,0.3,9,1,0,11
3,1,0.3,10,2,0,11
3,1,0.3,11,3,1,11
4,1,0.7,1,1,0,4
4,1,0.7,2,2,0,4
4,1,0.7,3,3,0,4
4,1,0.7,4,4,1,4
5,1,0.3,1,1,0,7
5,1,0.3,2,0,0,7
5,1,0.3,3,1,0,7
5,1,0.3,4,0,0,7
5,1,0.3,5,1,0,7
5,1,0.3,6,2,0,7
5,1,0.3,7,1,1,7
6,1,0.3,1,1,0,5
6,1,0.3,2,2,0,5
6,1,0.3,3,3,0,5
6,1,0.3,4,4,0,5
6,1,0.3,5,5,1,5
7,1,0.3,1,-1,0,14
7,1,0.3,2,0,0,14
7,1,0.3,3,-1,0,14
7,1,0.3,4,0,0,14
7,1,0.3,5,-1,0,14
7,1,0.3,6,-2,0,14
7,1,0.3,7,-3,0,14
7,1,0.3,8,-2,0,14
7,1,0.3,9,-1,0,14
7,1,0.3,10,-2,0,14
7,1,0.3,11,-1,0,14
7,1,0.3,12,0,0,14
7,1,0.3,13,1,0,14
7,1,0.3,14,0,1,14
8,1,0.7,1,1,0,7
8,1,0.7,2,0,0,7
8,1,0.7,3,1,0,7
8,1,0.7,4,2,0,7
8,1,0.7,5,1,0,7
8,1,0.7,6,2,0,7
8,1,0.7,7,3,1,7
9,1,0.7,1,1,0,4
9,1,0.7,2,2,0,4
9,1,0.7,3,3,0,4
9,1,0.7,4,4,1,4
10,1,0.7,1,1,0,4
10,1,0.7,2,2,0,4
10,1,0.7,3,3,0,4
10,1,0.7,4,4,1,4
11,1,0.3,1,1,0,9
11,1,0.3,2,2,0,9
11,1,0.3,3,1,0,9
11,1,0.3,4,-0,0,9
11,1,0.3,5,1,0,9
11,1,0.3,6,2,0,9
11,1,0.3,7,1,0,9
11,1,0.3,8,-0,0,9
11,1,0.3,9,1,1,9
12,1,0.7,1,-1,0,5
12,1,0.7,2,0,0,5
12,1,0.7,3,1,0,5
12,1,0.7,4,2,0,5
12,1,0.7,5,3,1,5
13,1,0.3,1,1,0,10
13,1,0.3,2,2,0,10
13,1,0.3,3,3,0,10
13,1,0.3,4,4,0,10
13,1,0.3,5,3,0,10
13,1,0.3,6,4,0,10
13,1,0.3,7,3,0,10
13,1,0.3,8,4,0,10
13,1,0.3,9,5,0,10
13,1,0.3,10,4,1,10
14,1,0.7,1,-1,0,8
14,1,0.7,2,0,0,8
14,1,0.7,3,1,0,8
14,1,0.7,4,2,0,8
14,1,0.7,5,1,0,8
14,1,0.7,6,2,0,8
14,1,0.7,7,1,0,8
14,1,0.7,8,2,1,8
15,1,0.3,1,1,0,5
15,1,0.3,2,2,0,5
15,1,0.3,3,3,0,5
15,1,0.3,4,4,0,5
15,1,0.3,5,5,1,5
16,1,0.7,1,-1,0,7
16,1,0.7,2,0,0,7
16,1,0.7,3,-1,0,7
16,1,0.7,4,0,0,7
16,1,0.7,5,1,0,7
16,1,0.7,6,2,0,7
16,1,0.7,7,3,1,7
17,1,0.3,1,1,0,7
17,1,0.3,2,2,0,7
17,1,0.3,3,3,0,7
17,1,0.3,4,4,0,7
17,1,0.3,5,3,0,7
17,1,0.3,6,4,0,7
17,1,0.3,7,5,1,7
18,1,0.7,1,-1,0,8
18,1,0.7,2,0,0,8
18,1,0.7,3,1,0,8
18,1,0.7,4,0,0,8
18,1,0.7,5,1,0,8
18,1,0.7,6,2,0,8
18,1,0.7,7,3,0,8
18,1,0.7,8,4,1,8
19,1,0.3,1,-1,0,6
19,1,0.3,2,-0,0,6
19,1,0.3,3,1,0,6
19,1,0.3,4,2,0,6
19,1,0.3,5,3,0,6
19,1,0.3,6,4,1,6
20,1,0.3,1,1,0,14
20,1,0.3,2,2,0,14
20,1,0.3,3,1,0,14
20,1,0.3,4,2,0,14
20,1,0.3,5,3,0,14
20,1,0.3,6,4,0,14
