condition,coherence,decision,evidence,high_evidence,time
easy,0.3,0,-4,-4,6
easy,0.3,0,-2,-2,8
easy,0.7,1,2,2,6
easy,0.3,0,-5,-5,7
easy,0.7,0,-1,-2,9
easy,0.3,1,1,2,7
easy,0.3,0,-2,-2,8
easy,0.7,1,3,3,7
easy,0.7,1,2,3,10
easy,0.3,0,-4,-4,4
easy,0.3,0,-5,-5,5
easy,0.3,0,-4,-4,4
easy,0.7,1,2,2,4
easy,0.7,1,3,3,3
easy,0.7,1,1,2,5
easy,0.3,0,-3,-3,5
easy,0.7,1,1,1,5
easy,0.3,0,-4,-4,4
easy,0.3,0,-3,-3,3
easy,0.7,1,3,3,3
easy,0.7,1,2,2,2
easy,0.7,1,1,2,7
easy,0.7,1,1,2,3
easy,0.7,0,0,2,8
easy,0.3,0,-3,-3,3
easy,0.3,0,-2,-2,2
easy,0.3,1,2,2,6
easy,0.7,0,0,1,4
easy,0.7,1,3,3,3
easy,0.7,1,2,2,2
easy,0.7,1,2,2,6
easy,0.3,0,-3,-3,3
easy,0.7,1,2,2,6
easy,0.7,1,2,2,6
easy,0.3,0,-1,-1,3
easy,0.7,0,0,2,8
easy,0.3,0,-2,-2,2
easy,0.3,1,2,2,4
easy,0.7,1,3,3,3
easy,0.7,1,3,3,5
easy,0.7,0,-2,-2,2
easy,0.3,1,3,3,7
easy,0.3,0,-2,-2,6
easy,0.7,1,3,3,5
easy,0.7,1,3,3,3
easy,0.7,0,-2,-2,8
easy,0.7,1,3,3,3
easy,0.3,0,-2,-2,6
easy,0.3,0,-2,-2,6
easy,0.3,0,-3,-3,5
easy,0.3,0,-2,-2,2
easy,0.7,1,2,2,2
easy,0.3,0,-2,-2,8
easy,0.3,0,-2,-2,2
easy,0.3,1,0,1,2
easy,0.3,1,0,1,4
easy,0.3,1,0,1,8
easy,0.3,0,-1,-2,3
easy,0.7,1,2,2,6
easy,0.7,1,2,2,2
easy,0.3,1,2,2,2
easy,0.3,0,-1,-2,3
easy,0.7,1,2,2,4
easy,0.7,1,2,3,6
easy,0.3,1,2,2,2
easy,0.3,0,-2,-2,2
easy,0.7,1,3,3,3
easy,0.7,1,2,2,2
easy,0.7,1,1,2,7
easy,0.7,1,2,2,2
easy,0.3,0,-1,-1,5
easy,0.7,1,2,2,6
easy,0.3,0,-2,-2,4
easy,0.3,1,-1,-1,7
diff,0.5,0,1,2,3
diff,0.5,0,1,1,1
diff,0.5,0,-1,-1,1
diff,0.5,0,-3,-3,3
diff,0.5,0,-1,-1,1
diff,0.5,0,-1,-1,1
diff,0.5,0,3,3,3
diff,0.5,0,2,2,2
diff,0.5,0,1,1,1
diff,0.5,0,2,2,2
diff,0.5,1,-1,-2,3
diff,0.5,0,-2,-2,2
diff,0.5,0,-1,-1,1
diff,0.5,1,-2,-2,2
diff,0.5,1,-2,-2,4
diff,0.5,0,2,2,2
diff,0.5,1,-1,-2,5
diff,0.5,1,0,1,2
diff,0.5,1,1,1,1
diff,0.5,1,0,1,2
mix,0.5,1,2,3,6
mix,0.5,1,0,1,8
mix,0.5,0,-2,-2,6
mix,0.5,1,-2,-3,14
mix,0.5,1,2,2,8
mix,0.5,1,1,3,7
mix,0.5,0,-2,-2,10
mix,0.5,0,-5,-5,9
mix,0.3,0,-5,-5,5
mix,0.3,0,-3,-3,11
mix,0.5,1,1,1,11
mix,0.7,1,3,3,7
mix,0.3,0,-2,-2,10
mix,0.3,0,-3,-3,11
mix,0.7,1,4,4,4
mix,0.5,1,-1,-1,13
mix,0.5,0,-2,-2,8
mix,0.3,0,-2,-2,6
mix,0.5,0,-3,-3,11
mix,0.7,1,3,3,9
mix,0.7,1,5,5,7
mix,0.5,1,6,6,8
mix,0.3,0,-4,-4,4
mix,0.3,0,-2,-2,8
mix,0.5,1,4,4,4
mix,0.7,1,1,1,9
mix,0.5,0,-3,-4,9
mix,0.3,0,-6,-6,6
mix,0.5,1,2,3,8
mix,0.5,1,2,2,6
mix,0.7,1,2,2,6
mix,0.7,1,3,3,5
mix,0.3,0,-2,-2,4
mix,0.3,0,-3,-3,3
mix,0.5,1,3,3,3
mix,0.5,1,3,3,3
mix,0.5,1,2,2,6
mix,0.7,1,2,2,2
mix,0.5,1,2,2,4
mix,0.3,0,-3,-3,5
mix,0.5,1,2,2,4
mix,0.7,1,2,2,2
mix,0.5,0,-2,-2,4
mix,0.5,0,-1,-2,7
mix,0.5,0,-3,-3,3
mix,0.3,0,-2,-2,2
mix,0.5,0,-1,-1,5
mix,0.5,0,1,1,7
mix,0.5,0,-3,-3,5
mix,0.5,1,2,2,4
mix,0.5,0,0,1,6
mix,0.7,1,3,3,5
mix,0.3,0,-2,-2,2
mix,0.3,0,-2,-2,4
mix,0.5,1,2,2,2
mix,0.5,0,0,1,2
mix,0.5,1,1,2,5
mix,0.5,0,-1,-2,3
mix,0.7,1,3,3,3
mix,0.7,1,2,2,2
mix,0.3,1,2,2,2
mix,0.5,1,1,1,7
mix,0.5,0,-2,-2,2
mix,0.5,1,2,2,6
mix,0.7,1,3,3,5
mix,0.7,1,0,1,6
mix,0.3,0,-2,-2,4
mix,0.7,0,-1,-1,5
mix,0.7,0,0,1,6
mix,0.7,1,2,2,4
mix,0.5,1,2,2,2
mix,0.5,0,-2,-2,4
mix,0.7,0,-2,-2,2
mix,0.5,1,2,2,4
