trial,condition,coherence,time,evidence,action,rt
1,1,0.72,1,1,0,9
1,1,0.72,2,0,0,9
1,1,0.72,3,-1,0,9
1,1,0.72,4,0,0,9
1,1,0.72,5,-1,0,9
1,1,0.72,6,-2,0,9
1,1,0.72,7,-1,0,9
1,1,0.72,8,0,0,9
1,1,0.72,9,1,1,9
2,1,0.28,1,-1,0,9
2,1,0.28,2,-0,0,9
2,1,0.28,3,-1,0,9
2,1,0.28,4,-0,0,9
2,1,0.28,5,-1,0,9
2,1,0.28,6,-0,0,9
2,1,0.28,7,1,0,9
2,1,0.28,8,-0,0,9
2,1,0.28,9,1,1,9
3,1,0.72,1,1,0,10
3,1,0.72,2,-0,0,10
3,1,0.72,3,-1,0,10
3,1,0.72,4,-2,0,10
3,1,0.72,5,-1,0,10
3,1,0.72,6,-0,0,10
3,1,0.72,7,1,0,10
3,1,0.72,8,-0,0,10
3,1,0.72,9,-1,0,10
3,1,0.72,10,-0,1,10
4,1,0.28,1,1,0,4
4,1,0.28,2,2,0,4
4,1,0.28,3,3,0,4
4,1,0.28,4,4,1,4
5,1,0.72,1,-1,0,8
5,1,0.72,2,0,0,8
5,1,0.72,3,1,0,8
5,1,0.72,4,0,0,8
5,1,0.72,5,-1,0,8
5,1,0.72,6,0,0,8
5,1,0.72,7,1,0,8
5,1,0.72,8,2,1,8
6,1,0.72,1,1,0,5
6,1,0.72,2,2,0,5
6,1,0.72,3,1,0,5
6,1,0.72,4,2,0,5
6,1,0.72,5,3,1,5
7,1,0.72,1,1,0,6
7,1,0.72,2,0,0,6
7,1,0.72,3,1,0,6
7,1,0.72,4,2,0,6
7,1,0.72,5,1,0,6
7,1,0.72,6,2,1,6
8,1,0.72,1,-1,0,7
8,1,0.72,2,0,0,7
8,1,0.72,3,-1,0,7
8,1,0.72,4,0,0,7
8,1,0.72,5,1,0,7
8,1,0.72,6,0,0,7
8,1,0.72,7,1,1,7
9,1,0.72,1,-1,0,5
9,1,0.72,2,-0,0,5
9,1,0.72,3,1,0,5
9,1,0.72,4,2,0,5
9,1,0.72,5,3,1,5
10,1,0.28,1,-1,0,6
10,1,0.28,2,-0,0,6
10,1,0.28,3,1,0,6
10,1,0.28,4,2,0,6
10,1,0.28,5,1,0,6
10,1,0.28,6,2,1,6
11,1,0.72,1,1,0,6
11,1,0.72,2,0,0,6
11,1,0.72,3,1,0,6
11,1,0.72,4,2,0,6
11,1,0.72,5,3,0,6
11,1,0.72,6,4,1,6
12,1,0.72,1,1,0,6
12,1,0.72,2,-0,0,6
12,1,0.72,3,1,0,6
12,1,0.72,4,2,0,6
12,1,0.72,5,1,0,6
12,1,0.72,6,2,1,6
13,1,0.72,1,1,0,5
13,1,0.72,2,2,0,5
13,1,0.72,3,3,0,5
13,1,0.72,4,4,0,5
13,1,0.72,5,5,1,5
14,1,0.72,1,1,0,3
14,1,0.72,2,2,0,3
14,1,0.72,3,3,1,3
15,1,0.72,1,1,0,3
15,1,0.72,2,0,0,3
15,1,0.72,3,1,1,3
16,1,0.72,1,1,0,4
16,1,0.72,2,0,0,4
16,1,0.72,3,1,0,4
16,1,0.72,4,2,1,4
17,1,0.72,1,1,0,3
17,1,0.72,2,2,0,3
17,1,0.72,3,3,1,3
18,1,0.72,1,1,0,5
18,1,0.72,2,0,0,5
18,1,0.72,3,1,0,5
18,1,0.72,4,2,0,5
18,1,0.72,5,1,1,5
19,1,0.72,1,1,0,3
19,1,0.72,2,2,0,3
19,1,0.72,3,3,1,3
20,1,0.28,1,-1,0,4
20,1,0.28,2,0,0,4
20,1,0.28,3,-1,0,4
20,1,0.28,4,0,1,4
21,1,0.28,1,-1,0,4
21,1,0.28,2,0,0,4
21,1,0.28,3,-1,0,4
21,1,0.28,4,0,1,4
22,1,0.72,1,1,0,4
22,1,0.72,2,2,0,4
22,1,0.72,3,3,0,4
