condition,coherence,time,invtime,stimulus,decision
1,0.28,2,4,1,0
1,0.28,3,3,0,0
1,0.28,4,2,0,0
1,0.28,5,1,0,0
1,0.28,1,20,1,0
1,0.28,2,19,0,0
1,0.28,3,18,0,0
1,0.28,4,17,1,0
1,0.28,5,16,1,0
1,0.28,6,15,0,0
1,0.28,7,14,1,0
1,0.28,8,13,1,0
1,0.28,9,12,1,0
1,0.28,10,11,1,0
1,0.28,11,10,0,0
1,0.28,12,9,1,0
1,0.28,13,8,0,0
1,0.28,14,7,0,0
1,0.28,15,6,1,0
1,0.28,16,5,0,0
1,0.28,17,4,0,0
1,0.28,18,3,1,0
1,0.28,19,2,1,0
1,0.28,20,1,0,0
1,0.28,1,5,0,0
1,0.28,2,4,0,0
1,0.28,3,3,0,0
1,0.28,4,2,0,0
1,0.28,5,1,0,0
1,0.28,1,7,0,1
1,0.28,2,6,1,1
1,0.28,3,5,1,1
1,0.28,4,4,0,1
1,0.28,5,3,1,1
1,0.28,6,2,1,1
1,0.28,7,1,1,1
1,0.28,1,5,0,0
1,0.28,2,4,0,0
1,0.28,3,3,0,0
1,0.28,4,2,1,0
1,0.28,5,1,0,0
1,0.72,1,7,1,1
1,0.72,2,6,0,1
1,0.72,3,5,0,1
1,0.72,4,4,1,1
1,0.72,5,3,1,1
1,0.72,6,2,1,1
1,0.72,7,1,1,1
1,0.72,1,5,0,1
1,0.72,2,4,1,1
1,0.72,3,3,1,1
1,0.72,4,2,1,1
1,0.72,5,1,1,1
1,0.72,1,5,1,1
1,0.72,2,4,1,1
1,0.72,3,3,1,1
1,0.72,4,2,1,1
1,0.72,5,1,1,1
1,0.72,1,6,1,1
1,0.72,2,5,1,1
1,0.72,3,4,1,1
1,0.72,4,3,0,1
1,0.72,5,2,1,1
1,0.72,6,1,1,1
1,0.72,1,7,1,1
1,0.72,2,6,1,1
1,0.72,3,5,0,1
1,0.72,4,4,1,1
1,0.72,5,3,1,1
1,0.72,6,2,1,1
1,0.72,7,1,1,1
1,0.72,1,8,0,1
1,0.72,2,7,1,1
1,0.72,3,6,0,1
1,0.72,4,5,1,1
1,0.72,5,4,1,1
1,0.72,6,3,1,1
1,0.72,7,2,0,1
1,0.72,8,1,0,1
1,0.72,1,5,1,1
1,0.72,2,4,1,1
1,0.72,3,3,1,1
1,0.72,4,2,1,1
1,0.72,5,1,1,1
1,0.28,1,5,0,0
1,0.28,2,4,1,0
1,0.28,3,3,0,0
1,0.28,4,2,0,0
1,0.28,5,1,0,0
1,0.28,1,6,0,0
1,0.28,2,5,1,0
1,0.28,3,4,0,0
1,0.28,4,3,0,0
1,0.28,5,2,1,0
1,0.28,6,1,0,0
1,0.72,1,6,1,1
1,0.72,2,5,1,1
1,0.72,3,4,1,1
1,0.72,4,3,0,1
1,0.72,5,2,1,1
1,0.72,6,1,1,1
1,0.72,1,6,1,1
1,0.72,2,5,0,1
1,0.72,3,4,1,1
1,0.72,4,3,1,1
1,0.72,5,2,1,1
1,0.72,6,1,1,1
1,0.28,1,5,0,0
1,0.28,2,4,0,0
1,0.28,3,3,0,0
1,0.28,4,2,1,0
1,0.28,5,1,0,0
1,0.72,1,8,1,0
1,0.72,2,7,1,0
1,0.72,3,6,0,0
1,0.72,4,5,0,0
1,0.72,5,4,0,0
1,0.72,6,3,0,0
1,0.72,7,2,1,0
1,0.72,8,1,0,0
1,0.72,1,13,0,1
1,0.72,2,12,1,1
1,0.72,3,11,0,1
1,0.72,4,10,1,1
1,0.72,5,9,0,1
1,0.72,6,8,1,1
1,0.72,7,7,1,1
1,0.72,8,6,1,1
1,0.72,9,5,0,1
1,0.72,10,4,1,1
1,0.72,11,3,1,1
1,0.72,12,2,1,1
1,0.72,13,1,1,1
1,0.72,1,7,1,1
1,0.72,2,6,1,1
1,0.72,3,5,1,1
1,0.72,4,4,1,1
1,0.72,5,3,1,1
1,0.72,6,2,0,1
1,0.72,7,1,1,1
1,0.72,1,10,1,1
1,0.72,2,9,1,1
1,0.72,3,8,0,1
1,0.72,4,7,1,1
1,0.72,5,6,1,1
1,0.72,6,5,1,1
1,0.72,7,4,1,1
1,0.72,8,3,1,1
1,0.72,9,2,1,1
1,0.72,10,1,1,1
1,0.72,1,5,1,1
1,0.72,2,4,1,1
1,0.72,3,3,1,1
1,0.72,4,2,1,1
1,0.72,5,1,1,1
1,0.72,1,6,0,1
1,0.72,2,5,1,1
1,0.72,3,4,1,1
1,0.72,4,3,1,1
1,0.72,5,2,0,1
1,0.72,6,1,1,1
1,0.28,1,5,0,0
1,0.28,2,4,0,0
1,0.28,3,3,0,0
1,0.28,4,2,0,0
1,0.28,5,1,0,0
1,0.72,1,6,0,1
1,0.72,2,5,1,1
1,0.72,3,4,1,1
1,0.72,4,3,1,1
1,0.72,5,2,1,1
1,0.72,6,1,1,1
1,0.72,1,5,0,0
1,0.72,2,4,0,0
1,0.72,3,3,1,0
1,0.72,4,2,1,0
1,0.72,5,1,1,0
1,0.28,1,7,0,0
1,0.28,2,6,1,0
1,0.28,3,5,0,0
1,0.28,4,4,0,0
1,0.28,5,3,0,0
1,0.28,6,2,0,0
1,0.28,7,1,0,0
1,0.28,1,8,1,1
1,0.28,2,7,1,1
1,0.28,3,6,1,1
1,0.28,4,5,0,1
1,0.28,5,4,0,1
1,0.28,6,3,0,1
1,0.28,7,2,1,1
1,0.28,8,1,1,1
1,0.72,1,5,1,1
1,0.72,2,4,1,1
1,0.72,3,3,1,1
1,0.72,4,2,1,1
1,0.72,5,1,0,1
1,0.72,1,7,0,0
1,0.72,2,6,0,0
1,0.72,3,5,1,0
1,0.72,4,4,1,0
1,0.72,5,3,0,0
1,0.72,6,2,0,0
1,0.72,7,1,1,0
1,0.72,1,8,1,1
1,0.72,2,7,0,1
1,0.72,3,6,1,1
1,0.72,4,5,1,1
1,0.72,5,4,1,1
1,0.72,6,3,1,1
1,0.72,7,2,1,1
1,0.72,8,1,1,1
1,0.72,1,21,1,1
1,0.72,2,20,0,1
1,0.72,3,19,1,1
1,0.72,4,18,1,1
1,0.72,5,17,0,1
1,0.72,6,16,1,1
1,0.72,7,15,1,1
1,0.72,8,14,0,1
1,0.72,9,13,1,1
1,0.72,10,12,1,1
1,0.72,11,11,0,1
1,0.72,12,10,1,1
1,0.72,13,9,1,1
1,0.72,14,8,1,1
1,0.72,15,7,0,1
1,0.72,16,6,1,1
1,0.72,17,5,0,1
1,0.72,18,4,1,1
1,0.72,19,3,1,1
1,0.72,20,2,1,1
1,0.72,21,1,1,1
1,0.28,1,27,1,0
1,0.28,2,26,0,0
1,0.28,3,25,0,0
1,0.28,4,24,1,0
1,0.28,5,23,0,0
1,0.28,6,22,1,0
1,0.28,7,21,0,0
1,0.28,8,20,0,0
1,0.28,9,19,1,0
1,0.28,10,18,1,0
1,0.28,11,17,0,0
1,0.28,12,16,1,0
1,0.28,13,15,0,0
1,0.28,14,14,0,0
1,0.28,15,13,0,0
1,0.28,16,12,0,0
1,0.28,17,11,0,0
1,0.28,18,10,0,0
1,0.28,19,9,1,0
1,0.28,20,8,1,0
1,0.28,21,7,0,0
1,0.28,22,6,1,0
1,0.28,23,5,0,0
1,0.28,24,4,0,0
1,0.28,25,3,0,0
1,0.28,26,2,1,0
1,0.28,27,1,0,0
1,0.28,1,13,1,0
1,0.28,2,12,1,0
1,0.28,3,11,0,0
1,0.28,4,10,0,0
1,0.28,5,9,0,0
1,0.28,6,8,0,0
1,0.28,7,7,1,0
1,0.28,8,6,0,0
1,0.28,9,5,0,0
1,0.28,10,4,0,0
1,0.28,11,3,0,0
1,0.28,12,2,0,0
1,0.28,13,1,0,0
1,0.72,1,11,1,1
1,0.72,2,10,1,1
1,0.72,3,9,0,1
1,0.72,4,8,1,1
1,0.72,5,7,1,1
1,0.72,6,6,1,1
1,0.72,7,5,0,1
1,0.72,8,4,1,1
1,0.72,9,3,1,1
1,0.72,10,2,1,1
1,0.72,11,1,1,1
1,0.28,1,10,0,0
1,0.28,2,9,0,0
1,0.28,3,8,1,0
1,0.28,4,7,1,0
1,0.28,5,6,0,0
1,0.28,6,5,0,0
1,0.28,7,4,0,0
1,0.28,8,3,0,0
1,0.28,9,2,0,0
1,0.28,10,1,0,0
1,0.28,1,9,0,0
1,0.28,2,8,0,0
1,0.28,3,7,0,0
1,0.28,4,6,0,0
1,0.28,5,5,1,0
1,0.28,6,4,0,0
1,0.28,7,3,0,0
1,0.28,8,2,0,0
1,0.28,9,1,1,0
1,0.28,1,6,0,0
1,0.28,2,5,1,0
1,0.28,3,4,0,0
1,0.28,4,3,0,0
1,0.28,5,2,0,0
1,0.28,6,1,0,0
1,0.28,1,8,0,0
1,0.28,2,7,1,0
1,0.28,3,6,0,0
1,0.28,4,5,1,0
1,0.28,5,4,0,0
1,0.28,6,3,0,0
1,0.28,7,2,0,0
1,0.28,8,1,0,0
1,0.28,1,7,1,0
1,0.28,2,6,0,0
1,0.28,3,5,0,0
1,0.28,4,4,0,0
1,0.28,5,3,0,0
1,0.28,6,2,0,0
1,0.28,7,1,0,0
1,0.72,1,7,1,1
1,0.72,2,6,1,1
1,0.72,3,5,0,1
1,0.72,4,4,1,1
1,0.72,5,3,1,1
1,0.72,6,2,1,1
1,0.72,7,1,0,1
1,0.28,1,7,0,0
1,0.28,2,6,0,0
1,0.28,3,5,1,0
1,0.28,4,4,0,0
1,0.28,5,3,0,0
1,0.28,6,2,0,0
1,0.28,7,1,0,0
1,0.28,1,10,1,0
1,0.28,2,9,0,0
1,0.28,3,8,0,0
1,0.28,4,7,0,0
1,0.28,5,6,1,0
1,0.28,6,5,1,0
1,0.28,7,4,0,0
1,0.28,8,3,0,0
1,0.28,9,2,0,0
1,0.28,10,1,1,0
1,0.28,1,6,0,0
1,0.28,2,5,0,0
1,0.28,3,4,1,0
1,0.28,4,3,0,0
1,0.28,5,2,1,0
1,0.28,6,1,1,0
1,0.28,1,5,0,0
1,0.28,2,4,0,0
1,0.28,3,3,0,0
1,0.28,4,2,0,0
1,0.28,5,1,0,0
1,0.72,1,8,1,1
1,0.72,2,7,1,1
1,0.72,3,6,1,1
1,0.72,4,5,1,1
1,0.72,5,4,1,1
1,0.72,6,3,1,1
1,0.72,7,2,0,1
1,0.72,8,1,1,1
1,0.28,1,18,1,0
1,0.28,2,17,0,0
1,0.28,3,16,0,0
1,0.28,4,15,1,0
1,0.28,5,14,1,0
1,0.28,6,13,1,0
1,0.28,7,12,0,0
1,0.28,8,11,0,0
1,0.28,9,10,0,0
1,0.28,10,9,0,0
1,0.28,11,8,1,0
1,0.28,12,7,0,0
1,0.28,13,6,1,0
1,0.28,14,5,0,0
1,0.28,15,4,0,0
1,0.28,16,3,0,0
1,0.28,17,2,0,0
1,0.28,18,1,0,0
1,0.72,1,13,1,0
1,0.72,2,12,0,0
1,0.72,3,11,1,0
1,0.72,4,10,1,0
1,0.72,5,9,1,0
1,0.72,6,8,0,0
1,0.72,7,7,1,0
1,0.72,8,6,0,0
1,0.72,9,5,0,0
1,0.72,10,4,1,0
1,0.72,11,3,0,0
1,0.72,12,2,1,0
1,0.72,13,1,0,0
1,0.28,1,18,0,0
1,0.28,2,17,0,0
1,0.28,3,16,1,0
1,0.28,4,15,0,0
1,0.28,5,14,1,0
1,0.28,6,13,1,0
1,0.28,7,12,0,0
1,0.28,8,11,1,0
1,0.28,9,10,0,0
1,0.28,10,9,0,0
1,0.28,11,8,0,0
1,0.28,12,7,0,0
1,0.28,13,6,0,0
1,0.28,14,5,1,0
1,0.28,15,4,0,0
1,0.28,16,3,1,0
1,0.28,17,2,0,0
1,0.28,18,1,0,0
1,0.72,1,9,1,1
1,0.72,2,8,0,1
1,0.72,3,7,1,1
1,0.72,4,6,1,1
1,0.72,5,5,0,1
1,0.72,6,4,1,1
1,0.72,7,3,1,1
1,0.72,8,2,1,1
1,0.72,9,1,1,1
1,0.72,1,22,0,1
1,0.72,2,21,1,1
1,0.72,3,20,0,1
1,0.72,4,19,0,1
1,0.72,5,18,0,1
1,0.72,6,17,1,1
1,0.72,7,16,1,1
1,0.72,8,15,1,1
1,0.72,9,14,1,1
1,0.72,10,13,0,1
1,0.72,11,12,1,1
1,0.72,12,11,1,1
1,0.72,13,10,1,1
1,0.72,14,9,1,1
1,0.72,15,8,0,1
1,0.72,16,7,1,1
1,0.72,17,6,0,1
1,0.72,18,5,0,1
1,0.72,19,4,1,1
1,0.72,20,3,1,1
1,0.72,21,2,1,1
1,0.72,22,1,1,1
1,0.28,1,36,0,0
1,0.28,2,35,0,0
1,0.28,3,34,0,0
1,0.28,4,33,1,0
1,0.28,5,32,1,0
1,0.28,6,31,0,0
1,0.28,7,30,1,0
1,0.28,8,29,1,0
1,0.28,9,28,1,0
1,0.28,10,27,0,0
1,0.28,11,26,0,0
1,0.28,12,25,0,0
1,0.28,13,24,0,0
1,0.28,14,23,0,0
1,0.28,15,22,0,0
1,0.28,16,21,0,0
1,0.28,17,20,1,0
1,0.28,18,19,1,0
1,0.28,19,18,0,0
1,0.28,20,17,1,0
1,0.28,21,16,1,0
1,0.28,22,15,0,0
1,0.28,23,14,1,0
1,0.28,24,13,0,0
1,0.28,25,12,0,0
1,0.28,26,11,1,0
1,0.28,27,10,0,0
1,0.28,28,9,0,0
1,0.28,29,8,1,0
1,0.28,30,7,1,0
1,0.28,31,6,0,0
1,0.28,32,5,0,0
1,0.28,33,4,0,0
1,0.28,34,3,0,0
1,0.28,35,2,0,0
1,0.28,36,1,0,0
1,0.28,1,18,1,0
1,0.28,2,17,0,0
1,0.28,3,16,0,0
1,0.28,4,15,0,0
1,0.28,5,14,0,0
1,0.28,6,13,1,0
1,0.28,7,12,1,0
1,0.28,8,11,0,0
1,0.28,9,10,1,0
1,0.28,10,9,0,0
1,0.28,11,8,0,0
1,0.28,12,7,1,0
1,0.28,13,6,0,0
1,0.28,14,5,0,0
1,0.28,15,4,0,0
1,0.28,16,3,0,0
1,0.28,17,2,0,0
1,0.28,18,1,0,0
1,0.28,1,11,0,0
1,0.28,2,10,1,0
1,0.28,3,9,0,0
1,0.28,4,8,1,0
1,0.28,5,7,0,0
1,0.28,6,6,0,0
1,0.28,7,5,0,0
1,0.28,8,4,0,0
1,0.28,9,3,0,0
1,0.28,10,2,0,0
1,0.28,11,1,1,0
1,0.72,1,16,0,1
1,0.72,2,15,1,1
1,0.72,3,14,0,1
1,0.72,4,13,0,1
1,0.72,5,12,0,1
1,0.72,6,11,0,1
1,0.72,7,10,1,1
1,0.72,8,9,0,1
1,0.72,9,8,1,1
1,0.72,10,7,1,1
1,0.72,11,6,1,1
1,0.72,12,5,1,1
1,0.72,13,4,0,1
1,0.72,14,3,1,1
1,0.72,15,2,1,1
1,0.72,16,1,1,1
1,0.72,1,14,1,1
1,0.72,2,13,1,1
1,0.72,3,12,0,1
1,0.72,4,11,1,1
1,0.72,5,10,1,1
1,0.72,6,9,1,1
1,0.72,7,8,1,1
1,0.72,8,7,0,1
1,0.72,9,6,0,1
1,0.72,10,5,1,1
1,0.72,11,4,1,1
1,0.72,12,3,1,1
1,0.72,13,2,1,1
1,0.72,14,1,1,1
1,0.28,1,19,0,0
1,0.28,2,18,0,0
1,0.28,3,17,1,0
1,0.28,4,16,1,0
1,0.28,5,15,0,0
1,0.28,6,14,0,0
1,0.28,7,13,1,0
1,0.28,8,12,1,0
1,0.28,9,11,1,0
1,0.28,10,10,0,0
1,0.28,11,9,0,0
1,0.28,12,8,1,0
1,0.28,13,7,0,0
1,0.28,14,6,1,0
1,0.28,15,5,0,0
1,0.28,16,4,0,0
1,0.28,17,3,0,0
1,0.28,18,2,1,0
1,0.28,19,1,0,0
1,0.28,1,16,0,0
1,0.28,2,15,1,0
1,0.28,3,14,0,0
1,0.28,4,13,0,0
1,0.28,5,12,1,0
1,0.28,6,11,0,0
1,0.28,7,10,1,0
1,0.28,8,9,0,0
1,0.28,9,8,0,0
1,0.28,10,7,0,0
1,0.28,11,6,0,0
1,0.28,12,5,1,0
1,0.28,13,4,0,0
1,0.28,14,3,0,0
1,0.28,15,2,0,0
1,0.28,16,1,1,0
1,0.28,1,7,0,0
1,0.28,2,6,0,0
1,0.28,3,5,0,0
1,0.28,4,4,0,0
1,0.28,5,3,0,0
1,0.28,6,2,0,0
1,0.28,7,1,0,0
1,0.72,1,9,1,1
1,0.72,2,8,1,1
1,0.72,3,7,1,1
1,0.72,4,6,1,1
1,0.72,5,5,0,1
1,0.72,6,4,1,1
1,0.72,7,3,1,1
1,0.72,8,2,1,1
1,0.72,9,1,1,1
1,0.72,1,6,1,1
1,0.72,2,5,0,1
1,0.72,3,4,1,1
1,0.72,4,3,1,1
1,0.72,5,2,1,1
1,0.72,6,1,0,1
1,0.72,1,7,0,1
1,0.72,2,6,1,1
1,0.72,3,5,1,1
1,0.72,4,4,1,1
1,0.72,5,3,1,1
1,0.72,6,2,1,1
1,0.72,7,1,1,1
1,0.72,1,9,0,0
1,0.72,2,8,0,0
1,0.72,3,7,0,0
1,0.72,4,6,1,0
1,0.72,5,5,0,0
1,0.72,6,4,1,0
1,0.72,7,3,0,0
1,0.72,8,2,1,0
1,0.72,9,1,1,0
1,0.72,1,8,0,1
1,0.72,2,7,1,1
1,0.72,3,6,1,1
1,0.72,4,5,1,1
1,0.72,5,4,0,1
1,0.72,6,3,1,1
1,0.72,7,2,1,1
1,0.72,8,1,0,1
1,0.72,1,21,1,0
1,0.72,2,20,0,0
1,0.72,3,19,1,0
1,0.72,4,18,0,0
1,0.72,5,17,0,0
1,0.72,6,16,1,0
1,0.72,7,15,1,0
1,0.72,8,14,0,0
1,0.72,9,13,0,0
1,0.72,10,12,1,0
1,0.72,11,11,1,0
1,0.72,12,10,0,0
1,0.72,13,9,1,0
1,0.72,14,8,1,0
1,0.72,15,7,0,0
1,0.72,16,6,1,0
1,0.72,17,5,1,0
1,0.72,18,4,1,0
1,0.72,19,3,0,0
1,0.72,20,2,1,0
1,0.72,21,1,1,0
1,0.28,1,13,0,0
1,0.28,2,12,0,0
1,0.28,3,11,0,0
1,0.28,4,10,1,0
1,0.28,5,9,0,0
1,0.28,6,8,1,0
1,0.28,7,7,1,0
1,0.28,8,6,0,0
1,0.28,9,5,0,0
1,0.28,10,4,0,0
1,0.28,11,3,1,0
1,0.28,12,2,0,0
1,0.28,13,1,0,0
1,0.28,1,9,0,0
1,0.28,2,8,1,0
1,0.28,3,7,0,0
1,0.28,4,6,1,0
1,0.28,5,5,0,0
1,0.28,6,4,0,0
1,0.28,7,3,0,0
1,0.28,8,2,0,0
1,0.28,9,1,1,0
1,0.72,1,21,1,1
1,0.72,2,20,1,1
1,0.72,3,19,0,1
1,0.72,4,18,0,1
1,0.72,5,17,0,1
1,0.72,6,16,1,1
1,0.72,7,15,1,1
1,0.72,8,14,1,1
1,0.72,9,13,0,1
1,0.72,10,12,1,1
1,0.72,11,11,1,1
1,0.72,12,10,1,1
1,0.72,13,9,0,1
1,0.72,14,8,1,1
1,0.72,15,7,1,1
1,0.72,16,6,1,1
1,0.72,17,5,0,1
1,0.72,18,4,1,1
1,0.72,19,3,1,1
1,0.72,20,2,1,1
1,0.72,21,1,1,1
1,0.28,1,15,0,0
1,0.28,2,14,1,0
1,0.28,3,13,0,0
1,0.28,4,12,1,0
1,0.28,5,11,1,0
1,0.28,6,10,0,0
1,0.28,7,9,0,0
1,0.28,8,8,1,0
1,0.28,9,7,0,0
1,0.28,10,6,0,0
1,0.28,11,5,0,0
1,0.28,12,4,0,0
1,0.28,13,3,0,0
1,0.28,14,2,0,0
1,0.28,15,1,1,0
1,0.72,1,17,0,1
1,0.72,2,16,1,1
1,0.72,3,15,1,1
1,0.72,4,14,0,1
1,0.72,5,13,1,1
1,0.72,6,12,1,1
1,0.72,7,11,1,1
1,0.72,8,10,1,1
1,0.72,9,9,1,1
1,0.72,10,8,1,1
1,0.72,11,7,1,1
1,0.72,12,6,0,1
1,0.72,13,5,0,1
1,0.72,14,4,0,1
1,0.72,15,3,1,1
1,0.72,16,2,1,1
1,0.72,17,1,0,1
1,0.72,1,33,1,1
1,0.72,2,32,1,1
1,0.72,3,31,0,1
1,0.72,4,30,1,1
1,0.72,5,29,0,1
1,0.72,6,28,0,1
1,0.72,7,27,1,1
1,0.72,8,26,1,1
1,0.72,9,25,0,1
1,0.72,10,24,0,1
1,0.72,11,23,1,1
1,0.72,12,22,0,1
1,0.72,13,21,1,1
1,0.72,14,20,1,1
1,0.72,15,19,0,1
1,0.72,16,18,0,1
1,0.72,17,17,1,1
1,0.72,18,16,1,1
1,0.72,19,15,0,1
1,0.72,20,14,1,1
1,0.72,21,13,0,1
1,0.72,22,12,1,1
1,0.72,23,11,1,1
1,0.72,24,10,1,1
1,0.72,25,9,1,1
1,0.72,26,8,0,1
1,0.72,27,7,1,1
1,0.72,28,6,1,1
1,0.72,29,5,1,1
1,0.72,30,4,1,1
1,0.72,31,3,0,1
1,0.72,32,2,0,1
1,0.72,33,1,1,1
1,0.28,1,13,1,1
1,0.28,2,12,0,1
1,0.28,3,11,0,1
1,0.28,4,10,1,1
1,0.28,5,9,0,1
1,0.28,6,8,0,1
1,0.28,7,7,1,1
1,0.28,8,6,0,1
1,0.28,9,5,1,1
1,0.28,10,4,0,1
1,0.28,11,3,1,1
1,0.28,12,2,1,1
1,0.28,13,1,1,1
1,0.72,1,6,1,1
1,0.72,2,5,1,1
1,0.72,3,4,1,1
1,0.72,4,3,1,1
1,0.72,5,2,1,1
1,0.72,6,1,1,1
1,0.28,1,14,0,0
1,0.28,2,13,0,0
1,0.28,3,12,0,0
1,0.28,4,11,0,0
1,0.28,5,10,1,0
1,0.28,6,9,0,0
1,0.28,7,8,0,0
1,0.28,8,7,1,0
1,0.28,9,6,1,0
1,0.28,10,5,0,0
1,0.28,11,4,0,0
1,0.28,12,3,0,0
1,0.28,13,2,0,0
1,0.28,14,1,0,0
1,0.28,1,31,0,0
1,0.28,2,30,0,0
1,0.28,3,29,0,0
1,0.28,4,28,0,0
1,0.28,5,27,1,0
1,0.28,6,26,0,0
1,0.28,7,25,1,0
1,0.28,8,24,0,0
1,0.28,9,23,0,0
1,0.28,10,22,1,0
1,0.28,11,21,0,0
1,0.28,12,20,0,0
1,0.28,13,19,1,0
1,0.28,14,18,0,0
1,0.28,15,17,0,0
1,0.28,16,16,0,0
1,0.28,17,15,1,0
1,0.28,18,14,1,0
1,0.28,19,13,0,0
1,0.28,20,12,0,0
1,0.28,21,11,0,0
1,0.28,22,10,0,0
1,0.28,23,9,0,0
1,0.28,24,8,1,0
1,0.28,25,7,1,0
1,0.28,26,6,1,0
1,0.28,27,5,0,0
1,0.28,28,4,1,0
1,0.28,29,3,0,0
1,0.28,30,2,0,0
1,0.28,31,1,1,0
1,0.28,1,8,0,0
1,0.28,2,7,0,0
1,0.28,3,6,0,0
1,0.28,4,5,0,0
1,0.28,5,4,1,0
1,0.28,6,3,0,0
1,0.28,7,2,1,0
1,0.28,8,1,0,0
1,0.72,1,12,0,0
1,0.72,2,11,0,0
1,0.72,3,10,0,0
1,0.72,4,9,0,0
1,0.72,5,8,1,0
1,0.72,6,7,0,0
1,0.72,7,6,1,0
1,0.72,8,5,1,0
1,0.72,9,4,1,0
1,0.72,10,3,0,0
1,0.72,11,2,1,0
1,0.72,12,1,1,0
1,0.72,1,16,0,0
1,0.72,2,15,1,0
1,0.72,3,14,0,0
1,0.72,4,13,0,0
1,0.72,5,12,0,0
1,0.72,6,11,1,0
1,0.72,7,10,1,0
1,0.72,8,9,1,0
1,0.72,9,8,0,0
1,0.72,10,7,1,0
1,0.72,11,6,1,0
1,0.72,12,5,1,0
1,0.72,13,4,0,0
1,0.72,14,3,0,0
1,0.72,15,2,1,0
1,0.72,16,1,1,0
1,0.72,1,22,0,1
1,0.72,2,21,0,1
1,0.72,3,20,1,1
1,0.72,4,19,1,1
1,0.72,5,18,0,1
1,0.72,6,17,1,1
1,0.72,7,16,1,1
1,0.72,8,15,1,1
1,0.72,9,14,0,1
1,0.72,10,13,1,1
1,0.72,11,12,0,1
1,0.72,12,11,1,1
1,0.72,13,10,1,1
1,0.72,14,9,0,1
1,0.72,15,8,1,1
1,0.72,16,7,1,1
1,0.72,17,6,1,1
1,0.72,18,5,1,1
1,0.72,19,4,1,1
1,0.72,20,3,1,1
1,0.72,21,2,1,1
1,0.72,22,1,1,1
1,0.72,1,8,1,1
1,0.72,2,7,1,1
1,0.72,3,6,1,1
1,0.72,4,5,1,1
1,0.72,5,4,1,1
1,0.72,6,3,1,1
1,0.72,7,2,1,1
1,0.72,8,1,1,1
1,0.28,1,5,0,0
1,0.28,2,4,0,0
1,0.28,3,3,0,0
1,0.28,4,2,0,0
1,0.28,5,1,0,0
1,0.28,1,8,0,0
1,0.28,2,7,1,0
1,0.28,3,6,0,0
1,0.28,4,5,0,0
1,0.28,5,4,0,0
1,0.28,6,3,0,0
1,0.28,7,2,0,0
1,0.28,8,1,0,0
1,0.72,1,8,0,1
1,0.72,2,7,1,1
1,0.72,3,6,1,1
1,0.72,4,5,1,1
1,0.72,5,4,1,1
1,0.72,6,3,1,1
1,0.72,7,2,1,1
1,0.72,8,1,1,1
1,0.72,1,6,0,1
1,0.72,2,5,1,1
1,0.72,3,4,1,1
1,0.72,4,3,1,1
1,0.72,5,2,1,1
1,0.72,6,1,1,1
1,0.28,1,8,0,0
1,0.28,2,7,0,0
1,0.28,3,6,0,0
1,0.28,4,5,0,0
1,0.28,5,4,0,0
1,0.28,6,3,0,0
1,0.28,7,2,0,0
1,0.28,8,1,0,0
1,0.72,1,12,1,1
1,0.72,2,11,1,1
1,0.72,3,10,0,1
1,0.72,4,9,0,1
1,0.72,5,8,1,1
1,0.72,6,7,1,1
1,0.72,7,6,0,1
1,0.72,8,5,1,1
1,0.72,9,4,1,1
1,0.72,10,3,1,1
1,0.72,11,2,1,1
1,0.72,12,1,0,1
1,0.28,1,16,0,0
1,0.28,2,15,1,0
1,0.28,3,14,1,0
1,0.28,4,13,0,0
1,0.28,5,12,0,0
1,0.28,6,11,0,0
1,0.28,7,10,1,0
1,0.28,8,9,0,0
1,0.28,9,8,0,0
1,0.28,10,7,0,0
1,0.28,11,6,1,0
1,0.28,12,5,1,0
1,0.28,13,4,1,0
1,0.28,14,3,0,0
1,0.28,15,2,0,0
1,0.28,16,1,0,0
1,0.28,1,10,0,1
1,0.28,2,9,0,1
1,0.28,3,8,1,1
1,0.28,4,7,1,1
1,0.28,5,6,1,1
1,0.28,6,5,1,1
1,0.28,7,4,0,1
1,0.28,8,3,0,1
1,0.28,9,2,0,1
1,0.28,10,1,1,1
1,0.72,1,9,0,1
1,0.72,2,8,1,1
1,0.72,3,7,1,1
1,0.72,4,6,1,1
1,0.72,5,5,1,1
1,0.72,6,4,1,1
1,0.72,7,3,1,1
1,0.72,8,2,1,1
1,0.72,9,1,1,1
1,0.72,1,9,1,1
1,0.72,2,8,1,1
1,0.72,3,7,0,1
1,0.72,4,6,0,1
1,0.72,5,5,1,1
1,0.72,6,4,1,1
1,0.72,7,3,1,1
1,0.72,8,2,1,1
1,0.72,9,1,1,1
1,0.72,1,10,1,1
1,0.72,2,9,1,1
1,0.72,3,8,1,1
1,0.72,4,7,1,1
1,0.72,5,6,1,1
1,0.72,6,5,0,1
1,0.72,7,4,1,1
1,0.72,8,3,1,1
1,0.72,9,2,1,1
1,0.72,10,1,1,1
1,0.28,1,10,0,0
1,0.28,2,9,1,0
1,0.28,3,8,0,0
1,0.28,4,7,0,0
1,0.28,5,6,0,0
1,0.28,6,5,1,0
1,0.28,7,4,1,0
1,0.28,8,3,0,0
1,0.28,9,2,0,0
1,0.28,10,1,0,0
1,0.28,1,12,1,0
1,0.28,2,11,0,0
1,0.28,3,10,1,0
1,0.28,4,9,1,0
1,0.28,5,8,1,0
